Date,Series,Venue,Toss_Winner,Toss_Decision,1st_Inn_Runs,1st_Inn_Wkts,2nd_Inn_Runs,2nd_Inn_Wkts,3rd_Inn_Runs,3rd_Inn_Wkts,4th_Inn_Runs,4th_Inn_Wkts,Result,POM,Format,Search_Field,Toss_Enc,Venue_Enc
25/11/19,NZ v WI,McLean Park,West Indies,Bat,208,10,210,5,0,0,0,0,NZ (5 wkts),Ish Sodhi,ODI,NZ V WI WEST INDIES NZ (5 WKTS),25,69
25/11/22,NZ v WI,Seddon Park,New Zealand,Bowl,256,8,258,6,0,0,0,0,NZ (4 wkts),Will Young,ODI,NZ V WI NEW ZEALAND NZ (4 WKTS),13,109
26/06/03,SL v WI,Sabina Park,West Indies,Bowl,303,7,262,10,0,0,0,0,SL (41 runs),Kusal Mendis,ODI,SL V WI WEST INDIES SL (41 RUNS),4,419

,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
24/01/06,SL v ZIM,R. Premadasa Stadium,Zimbabwe,Bat,273,9,12,2,0,0,0,0,No Result,,ODI,SL V ZIM ZIMBABWE NO RESULT,26,94
24/01/08,SL v ZIM,R. Premadasa Stadium,Zimbabwe,Bat,208,10,211,8,0,0,0,0,SL (2 wkts),Janith Liyanage,ODI,SL V ZIM ZIMBABWE SL (2 WKTS),26,94
24/01/11,SL v ZIM,R. Premadasa Stadium,Zimbabwe,Bat,96,10,97,2,0,0,0,0,SL (8 wkts),Wanindu Hasaranga,ODI,SL V ZIM ZIMBABWE SL (8 WKTS),26,94
24/11/24,ZIM v PAK,Queens Sports Club,Pakistan,Bowl,205,10,125,10,0,0,0,0,ZIM (80 runs*),Richard Ngarava,ODI,ZIM V PAK PAKISTAN ZIM (80 RUNS*),15,91
24/11/26,ZIM v PAK,Queens Sports Club,Pakistan,Bowl,145,10,148,0,0,0,0,0,PAK (10 wkts),Saim Ayub,ODI,ZIM V PAK PAKISTAN PAK (10 WKTS),15,91
24/11/28,ZIM v PAK,Queens Sports Club,Pakistan,Bat,259,7,160,10,0,0,0,0,PAK (99 runs),Abdullah Shafique,ODI,ZIM V PAK PAKISTAN PAK (99 RUNS),15,91
24/12/17,ZIM v AFG,Harare Sports Club,Zimbabwe,Bowl,31,2,0,0,0,0,0,0,No Result,,ODI,ZIM V AFG ZIMBABWE NO RESULT,26,46
24/12/19,ZIM v AFG,Harare Sports Club,Afghanistan,Bat,385,3,153,10,0,0,0,0,AFG (232 runs),Rahmanullah Gurbaz,ODI,ZIM V AFG AFGHANISTAN AFG (232 RUNS),0,46
24/12/21,ZIM v AFG,Harare Sports Club,Zimbabwe,Bat,212,10,215,2,0,0,0,0,AFG (8 wkts),Ibrahim Zadran,ODI,ZIM V AFG ZIMBABWE AFG (8 WKTS),26,46
25/02/14,ZIM v IRE,Harare Sports Club,Zimbabwe,Bat,268,8,219,10,0,0,0,0,ZIM (49 runs),Sikandar Raza,ODI,ZIM V IRE ZIMBABWE ZIM (49 RUNS),26,46
25/02/16,ZIM v IRE,Harare Sports Club,Ireland,Bowl,194,10,197,4,0,0,0,0,IRE (6 wkts),Josh Little,ODI,ZIM V IRE IRELAND IRE (6 WKTS),7,46
25/02/18,ZIM v IRE,Harare Sports Club,Zimbabwe,Bowl,162,10,165,1,0,0,0,0,ZIM (9 wkts),Richard Ngarava,ODI,ZIM V IRE ZIMBABWE ZIM (9 WKTS),26,46
25/08/29,ZIM v SL,Harare Sports Club,Zimbabwe,Bowl,252,7,245,10,0,0,0,0,SL (7 runs),Pathum Nissanka,ODI,ZIM V SL ZIMBABWE SL (7 RUNS),26,46
25/08/31,ZIM v SL,Harare Sports Club,Sri Lanka,Bowl,188,10,189,5,0,0,0,0,SL (5 wkts),Avishka Fernando,ODI,ZIM V SL SRI LANKA SL (5 WKTS),21,46
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
24/01/02,UAE v AFG,Sharjah Cricket Stadium,Afghanistan,Bowl,126,9,128,6,0,0,0,0,AFG (4 wkts),Naveen-ul-Haq,T20,UAE V AFG AFGHANISTAN AFG (4 WKTS),0,112
24/01/11,IND v AFG,PCA IS Bindra Stadium,India,Bowl,158,5,159,4,0,0,0,0,IND (6 wkts),Shivam Dube,T20,IND V AFG INDIA IND (6 WKTS),6,82
24/01/14,IND v AFG,Holkar Cricket Stadium,India,Bowl,172,10,173,4,0,0,0,0,IND (6 wkts),Axar Patel,T20,IND V AFG INDIA IND (6 WKTS),6,49
24/01/17,IND v AFG,M. Chinnaswamy Stadium,Afghanistan,Bat,212,4,212,6,0,0,0,0,IND (Super Over),Rohit Sharma,T20,IND V AFG AFGHANISTAN IND (SUPER OVER),0,61
24/02/17,SL v AFG,Rangiri Dambulla Stadium,Afghanistan,Bowl,160,10,156,9,0,0,0,0,SL (4 runs),Wanindu Hasaranga,T20,SL V AFG AFGHANISTAN SL (4 RUNS),0,99
24/02/19,SL v AFG,Rangiri Dambulla Stadium,Afghanistan,Bowl,187,6,115,10,0,0,0,0,SL (72 runs),Angelo Mathews,T20,SL V AFG AFGHANISTAN SL (72 RUNS),0,99
24/02/21,SL v AFG,Rangiri Dambulla Stadium,Sri Lanka,Bowl,209,5,206,6,0,0,0,0,AFG (3 runs),Mohammad Ishaq,T20,SL V AFG SRI LANKA AFG (3 RUNS),21,99
24/03/15,IRE v AFG,Sharjah Cricket Stadium,Afghanistan,Bowl,149,6,111,10,0,0,0,0,IRE (38 runs),Ben White,T20,IRE V AFG AFGHANISTAN IRE (38 RUNS),0,112
24/03/17,IRE v AFG,Sharjah Cricket Stadium,Afghanistan,Bat,152,9,142,8,0,0,0,0,AFG (10 runs),Rashid Khan,T20,IRE V AFG AFGHANISTAN AFG (10 RUNS),0,112
24/03/18,IRE v AFG,Sharjah Cricket Stadium,Afghanistan,Bat,155,7,98,10,0,0,0,0,AFG (57 runs),Azmatullah Omarzai,T20,IRE V AFG AFGHANISTAN AFG (57 RUNS),0,112
24/06/03,T20 WC (v UGA),Providence Stadium,Uganda,Bowl,183,5,58,10,0,0,0,0,AFG (125 runs),Fazalhaq Farooqi,T20,T20 WC (V UGA) UGANDA AFG (125 RUNS),24,89
24/06/07,T20 WC (v NZ),Providence Stadium,New Zealand,Bowl,159,6,75,10,0,0,0,0,AFG (84 runs),Rahmanullah Gurbaz,T20,T20 WC (V NZ) NEW ZEALAND AFG (84 RUNS),13,89
24/06/13,T20 WC (v PNG),Brian Lara Stadium,Afghanistan,Bowl,95,10,101,3,0,0,0,0,AFG (7 wkts),Gulbadin Naib,T20,T20 WC (V PNG) AFGHANISTAN AFG (7 WKTS),0,16
24/06/17,T20 WC (v WI),Daren Sammy Ground,Afghanistan,Bowl,218,5,114,10,0,0,0,0,WI (104 runs),Nicholas Pooran,T20,T20 WC (V WI) AFGHANISTAN WI (104 RUNS),0,26
24/06/20,T20 WC (v IND),Kensington Oval,India,Bat,181,8,134,10,0,0,0,0,IND (47 runs),Jasprit Bumrah,T20,T20 WC (V IND) INDIA IND (47 RUNS),6,55
24/06/22,T20 WC (v AUS),Arnos Vale Ground,Australia,Bowl,148,6,127,10,0,0,0,0,AFG (21 runs),Gulbadin Naib,T20,T20 WC (V AUS) AUSTRALIA AFG (21 RUNS),1,3
24/06/24,T20 WC (v BAN),Arnos Vale Ground,Afghanistan,Bat,115,5,105,10,0,0,0,0,AFG (8 runs*),Naveen-ul-Haq,T20,T20 WC (V BAN) AFGHANISTAN AFG (8 RUNS*),0,3
24/06/26,T20 WC Semi Final,Brian Lara Stadium,Afghanistan,Bat,56,10,60,1,0,0,0,0,SA (9 wkts),Marco Jansen,T20,T20 WC SEMI FINAL AFGHANISTAN SA (9 WKTS),0,16
24/12/11,ZIM v AFG,Harare Sports Club,Zimbabwe,Bowl,148,8,149,6,0,0,0,0,ZIM (4 wkts),Sikandar Raza,T20,ZIM V AFG ZIMBABWE ZIM (4 WKTS),26,46
24/12/13,ZIM v AFG,Harare Sports Club,Afghanistan,Bat,186,5,136,10,0,0,0,0,AFG (50 runs),Rahmanullah Gurbaz,T20,ZIM V AFG AFGHANISTAN AFG (50 RUNS),0,46
24/12/14,ZIM v AFG,Harare Sports Club,Afghanistan,Bowl,162,9,163,7,0,0,0,0,AFG (3 wkts),Rashid Khan,T20,ZIM V AFG AFGHANISTAN AFG (3 WKTS),0,46
25/08/29,AFG Tri-Series,Sharjah Cricket Stadium,Pakistan,Bat,168,7,129,10,0,0,0,0,PAK (39 runs),Mohammad Rizwan,T20,AFG TRI-SERIES PAKISTAN PAK (39 RUNS),15,112
25/09/01,AFG Tri-Series,Sharjah Cricket Stadium,Afghanistan,Bat,174,6,136,10,0,0,0,0,AFG (38 runs),Karim Janat,T20,AFG TRI-SERIES AFGHANISTAN AFG (38 RUNS),0,112
25/09/02,AFG Tri-Series,Sharjah Cricket Stadium,Afghanistan,Bat,158,8,140,10,0,0,0,0,AFG (18 runs),Naveen-ul-Haq,T20,AFG TRI-SERIES AFGHANISTAN AFG (18 RUNS),0,112
25/09/05,AFG Tri-Series,Sharjah Cricket Stadium,UAE,Bowl,162,7,158,9,0,0,0,0,AFG (4 runs),Fazalhaq Farooqi,T20,AFG TRI-SERIES UAE AFG (4 RUNS),22,112
25/09/07,AFG Tri-Series Final,Sharjah Cricket Stadium,Pakistan,Bat,194,4,119,10,0,0,0,0,PAK (75 runs),Babar Azam,T20,AFG TRI-SERIES FINAL PAKISTAN PAK (75 RUNS),15,112
25/09/09,Asia Cup (v HK),Sheikh Zayed Stadium,Afghanistan,Bat,210,3,116,10,0,0,0,0,AFG (94 runs),Rahmanullah Gurbaz,T20,ASIA CUP (V HK) AFGHANISTAN AFG (94 RUNS),0,114
25/09/16,Asia Cup (v BAN),Sheikh Zayed Stadium,Bangladesh,Bat,154,8,146,9,0,0,0,0,BAN (8 runs),Shakib Al Hasan,T20,ASIA CUP (V BAN) BANGLADESH BAN (8 RUNS),2,114
25/09/18,Asia Cup (v SL),Sheikh Zayed Stadium,Afghanistan,Bat,165,7,166,4,0,0,0,0,SL (6 wkts),Kusal Mendis,T20,ASIA CUP (V SL) AFGHANISTAN SL (6 WKTS),0,114
25/10/02,AFG v BAN,Sharjah Cricket Stadium,Bangladesh,Bowl,142,9,143,6,0,0,0,0,BAN (4 wkts),Mustafizur Rahman,T20,AFG V BAN BANGLADESH BAN (4 WKTS),2,112
25/10/03,AFG v BAN,Sharjah Cricket Stadium,Afghanistan,Bat,156,6,157,8,0,0,0,0,BAN (2 wkts),Towhid Hridoy,T20,AFG V BAN AFGHANISTAN BAN (2 WKTS),0,112
25/10/05,AFG v BAN,Sharjah Cricket Stadium,Afghanistan,Bat,138,10,141,4,0,0,0,0,BAN (6 wkts),Rishad Hossain,T20,AFG V BAN AFGHANISTAN BAN (6 WKTS),0,112
25/10/29,ZIM v AFG,Harare Sports Club,Zimbabwe,Bowl,192,5,139,10,0,0,0,0,AFG (53 runs),Ibrahim Zadran,T20,ZIM V AFG ZIMBABWE AFG (53 RUNS),26,46
25/10/31,ZIM v AFG,Harare Sports Club,Zimbabwe,Bat,144,10,148,3,0,0,0,0,AFG (7 wkts),Mujeeb Ur Rahman,T20,ZIM V AFG ZIMBABWE AFG (7 WKTS),26,46
25/11/02,ZIM v AFG,Harare Sports Club,Afghanistan,Bat,161,8,152,9,0,0,0,0,AFG (9 runs),Mohammad Nabi,T20,ZIM V AFG AFGHANISTAN AFG (9 RUNS),0,46
25/11/11,AFG v QAT,West End Park Stadium,Qatar,Bowl,178,6,153,9,0,0,0,0,AFG (25 runs),Azmatullah Omarzai,T20,AFG V QAT QATAR AFG (25 RUNS),16,144
26/01/19,AFG v WI,Dubai Intl Stadium,Afghanistan,Bat,184,5,146,10,0,0,0,0,AFG (38 runs),Rahmanullah Gurbaz,T20,AFG V WI AFGHANISTAN AFG (38 RUNS),0,31
26/01/21,AFG v WI,Dubai Intl Stadium,Afghanistan,Bat,177,7,138,10,0,0,0,0,AFG (39 runs),Fazalhaq Farooqi,T20,AFG V WI AFGHANISTAN AFG (39 RUNS),0,31
26/01/22,AFG v WI,Dubai Intl Stadium,West Indies,Bat,165,8,150,9,0,0,0,0,WI (15 runs),Nicholas Pooran,T20,AFG V WI WEST INDIES WI (15 RUNS),25,31
26/02/08,T20 WC (v NZ),MA Chidambaram Stadium,Afghanistan,Bat,148,9,152,5,0,0,0,0,NZ (5 wkts),Daryl Mitchell,T20,T20 WC (V NZ) AFGHANISTAN NZ (5 WKTS),0,63
26/02/11,T20 WC (v SA),Narendra Modi Stadium,South Africa,Bowl,172,6,172,8,0,0,0,0,SA (Super Over),Quinton de Kock,T20,T20 WC (V SA) SOUTH AFRICA SA (SUPER OVER),20,73
26/02/16,T20 WC (v UAE),Arun Jaitley Stadium,UAE,Bat,134,10,138,5,0,0,0,0,AFG (5 wkts),Rashid Khan,T20,T20 WC (V UAE) UAE AFG (5 WKTS),22,4
26/02/19,T20 WC (v CAN),MA Chidambaram Stadium,Afghanistan,Bat,198,4,116,10,0,0,0,0,AFG (82 runs),Rahmanullah Gurbaz,T20,T20 WC (V CAN) AFGHANISTAN AFG (82 RUNS),0,63
24/02/09,AUS v WI,Bellerive Oval,West Indies,Bowl,213,7,202,8,0,0,0,0,AUS (11 runs),David Warner,T20,AUS V WI WEST INDIES AUS (11 RUNS),25,12
24/02/11,AUS v WI,Adelaide Oval,West Indies,Bowl,241,4,207,9,0,0,0,0,AUS (34 runs),Glenn Maxwell,T20,AUS V WI WEST INDIES AUS (34 RUNS),25,2
24/02/13,AUS v WI,Perth Stadium,West Indies,Bat,220,6,183,5,0,0,0,0,WI (37 runs),Andre Russell,T20,AUS V WI WEST INDIES WI (37 RUNS),25,87
24/02/21,NZ v AUS,Sky Stadium,New Zealand,Bat,215,3,216,4,0,0,0,0,AUS (6 wkts),Mitchell Marsh,T20,NZ V AUS NEW ZEALAND AUS (6 WKTS),13,123
24/02/23,NZ v AUS,Eden Park,New Zealand,Bowl,174,10,102,10,0,0,0,0,AUS (72 runs),Pat Cummins,T20,NZ V AUS NEW ZEALAND AUS (72 RUNS),13,33
24/02/25,NZ v AUS,Eden Park,New Zealand,Bowl,118,4,98,3,0,0,0,0,AUS (27 runs*),Matthew Short,T20,NZ V AUS NEW ZEALAND AUS (27 RUNS*),13,33
24/06/05,T20 WC (v OMA),Kensington Oval,Oman,Bowl,164,5,125,9,0,0,0,0,AUS (39 runs),Marcus Stoinis,T20,T20 WC (V OMA) OMAN AUS (39 RUNS),14,55
24/06/08,T20 WC (v ENG),Kensington Oval,England,Bowl,201,7,165,6,0,0,0,0,AUS (36 runs),Adam Zampa,T20,T20 WC (V ENG) ENGLAND AUS (36 RUNS),4,55
24/06/11,T20 WC (v NAM),Sir Vivian Richards Stadium,Australia,Bowl,72,10,74,1,0,0,0,0,AUS (9 wkts),Adam Zampa,T20,T20 WC (V NAM) AUSTRALIA AUS (9 WKTS),1,122
24/06/15,T20 WC (v SCO),Daren Sammy Ground,Australia,Bowl,180,5,186,5,0,0,0,0,AUS (5 wkts),Marcus Stoinis,T20,T20 WC (V SCO) AUSTRALIA AUS (5 WKTS),1,26
24/06/20,T20 WC (v BAN),Sir Vivian Richards Stadium,Australia,Bowl,140,8,100,2,0,0,0,0,AUS (28 runs*),Pat Cummins,T20,T20 WC (V BAN) AUSTRALIA AUS (28 RUNS*),1,122
24/06/22,T20 WC (v AFG),Arnos Vale Ground,Australia,Bowl,148,6,127,10,0,0,0,0,AFG (21 runs),Gulbadin Naib,T20,T20 WC (V AFG) AUSTRALIA AFG (21 RUNS),1,3
24/06/24,T20 WC (v IND),Daren Sammy Ground,Australia,Bowl,205,5,181,7,0,0,0,0,IND (24 runs),Rohit Sharma,T20,T20 WC (V IND) AUSTRALIA IND (24 RUNS),1,26
24/09/04,SCO v AUS,Grange Cricket Club,Australia,Bowl,154,9,156,3,0,0,0,0,AUS (7 wkts),Travis Head,T20,SCO V AUS AUSTRALIA AUS (7 WKTS),1,40
24/09/06,SCO v AUS,Grange Cricket Club,Scotland,Bowl,196,4,126,10,0,0,0,0,AUS (70 runs),Josh Inglis,T20,SCO V AUS SCOTLAND AUS (70 RUNS),18,40
24/09/07,SCO v AUS,Grange Cricket Club,Australia,Bowl,149,9,153,4,0,0,0,0,AUS (6 wkts),Cameron Green,T20,SCO V AUS AUSTRALIA AUS (6 WKTS),1,40
24/09/11,ENG v AUS,The Rose Bowl,England,Bowl,179,10,151,10,0,0,0,0,AUS (28 runs),Travis Head,T20,ENG V AUS ENGLAND AUS (28 RUNS),4,132
24/09/13,ENG v AUS,Sophia Gardens,Australia,Bat,193,6,194,7,0,0,0,0,ENG (3 wkts),Liam Livingstone,T20,ENG V AUS AUSTRALIA ENG (3 WKTS),1,124
24/11/14,AUS v PAK,Brisbane Cricket Ground,Pakistan,Bowl,94,4,65,9,0,0,0,0,AUS (29 runs*),Glenn Maxwell,T20,AUS V PAK PAKISTAN AUS (29 RUNS*),15,17
24/11/16,AUS v PAK,Sydney Cricket Ground,Australia,Bat,147,9,134,10,0,0,0,0,AUS (13 runs),Spencer Johnson,T20,AUS V PAK AUSTRALIA AUS (13 RUNS),1,128
24/11/18,AUS v PAK,Bellerive Oval,Pakistan,Bat,117,10,118,3,0,0,0,0,AUS (7 wkts),Marcus Stoinis,T20,AUS V PAK PAKISTAN AUS (7 WKTS),15,12
25/07/20,WI v AUS,Sabina Park,West Indies,Bat,162,8,163,7,0,0,0,0,AUS (3 wkts),Adam Zampa,T20,WI V AUS WEST INDIES AUS (3 WKTS),25,105
25/07/22,WI v AUS,Sabina Park,Australia,Bowl,148,10,149,2,0,0,0,0,AUS (8 wkts),Mitchell Starc,T20,WI V AUS AUSTRALIA AUS (8 WKTS),1,105
25/07/25,WI v AUS,Warner Park,West Indies,Bat,175,6,176,4,0,0,0,0,AUS (6 wkts),Travis Head,T20,WI V AUS WEST INDIES AUS (6 WKTS),25,142
25/07/26,WI v AUS,Warner Park,Australia,Bowl,154,9,155,7,0,0,0,0,AUS (3 wkts),Glenn Maxwell,T20,WI V AUS AUSTRALIA AUS (3 WKTS),1,142
25/07/28,WI v AUS,Warner Park,West Indies,Bat,168,7,169,7,0,0,0,0,AUS (3 wkts),Tim David,T20,WI V AUS WEST INDIES AUS (3 WKTS),25,142
25/08/10,AUS v SA,Marrara Cricket Ground,Australia,Bat,182,6,165,9,0,0,0,0,AUS (17 runs),Marcus Stoinis,T20,AUS V SA AUSTRALIA AUS (17 RUNS),1,67
25/08/12,AUS v SA,Marrara Cricket Ground,South Africa,Bowl,134,10,187,5,0,0,0,0,SA (53 runs),Kagiso Rabada,T20,AUS V SA SOUTH AFRICA SA (53 RUNS),20,67
25/08/16,AUS v SA,Cazaly's Stadium,South Africa,Bat,156,8,157,8,0,0,0,0,AUS (2 wkts),Josh Inglis,T20,AUS V SA SOUTH AFRICA AUS (2 WKTS),20,20
25/10/01,NZ v AUS,Bay Oval,New Zealand,Bat,158,7,162,4,0,0,0,0,AUS (6 wkts),Mitchell Marsh,T20,NZ V AUS NEW ZEALAND AUS (6 WKTS),13,11
25/10/03,NZ v AUS,Bay Oval,Australia,Bowl,42,2,0,0,0,0,0,0,No Result,,T20,NZ V AUS AUSTRALIA NO RESULT,1,11
25/10/04,NZ v AUS,Bay Oval,New Zealand,Bat,171,6,172,7,0,0,0,0,AUS (3 wkts),Glenn Maxwell,T20,NZ V AUS NEW ZEALAND AUS (3 WKTS),13,11
25/10/29,AUS v IND,Manuka Oval,India,Bowl,34,1,0,0,0,0,0,0,No Result,,T20,AUS V IND INDIA NO RESULT,6,66
25/10/31,AUS v IND,Melbourne Cricket Ground,Australia,Bowl,152,8,153,6,0,0,0,0,AUS (4 wkts),Travis Head,T20,AUS V IND AUSTRALIA AUS (4 WKTS),1,70
25/11/02,AUS v IND,Bellerive Oval,Australia,Bat,165,7,166,5,0,0,0,0,IND (5 wkts),Hardik Pandya,T20,AUS V IND AUSTRALIA IND (5 WKTS),1,12
25/11/06,AUS v IND,Carrara Oval,India,Bat,188,5,140,10,0,0,0,0,IND (48 runs),Jasprit Bumrah,T20,AUS V IND INDIA IND (48 RUNS),6,18
25/11/08,AUS v IND,Brisbane Cricket Ground,India,Bowl,88,3,0,0,0,0,0,0,No Result,,T20,AUS V IND INDIA NO RESULT,6,17
26/01/29,PAK v AUS,Gaddafi Stadium,Pakistan,Bat,172,6,150,10,0,0,0,0,PAK (22 runs),Shaheen Afridi,T20,PAK V AUS PAKISTAN PAK (22 RUNS),15,36
26/01/31,PAK v AUS,Gaddafi Stadium,Pakistan,Bat,215,4,125,10,0,0,0,0,PAK (90 runs),Babar Azam,T20,PAK V AUS PAKISTAN PAK (90 RUNS),15,36
26/02/01,PAK v AUS,Gaddafi Stadium,Australia,Bowl,232,3,121,10,0,0,0,0,PAK (111 runs),Mohammad Rizwan,T20,PAK V AUS AUSTRALIA PAK (111 RUNS),1,36
26/02/11,T20 WC (v IRE),R. Premadasa Stadium,Australia,Bat,195,5,128,10,0,0,0,0,AUS (67 runs),Glenn Maxwell,T20,T20 WC (V IRE) AUSTRALIA AUS (67 RUNS),1,94
26/02/13,T20 WC (v ZIM),R. Premadasa Stadium,Zimbabwe,Bowl,152,8,129,10,0,0,0,0,ZIM (23 runs),Sikandar Raza,T20,T20 WC (V ZIM) ZIMBABWE ZIM (23 RUNS),26,94
26/02/16,T20 WC (v SL),Pallekele Intl Stadium,Sri Lanka,Bowl,162,9,163,2,0,0,0,0,SL (8 wkts),Pathum Nissanka,T20,T20 WC (V SL) SRI LANKA SL (8 WKTS),21,85
26/02/20,T20 WC (v OMA),Pallekele Intl Stadium,Oman,Bat,114,10,115,1,0,0,0,0,AUS (9 wkts),Mitchell Starc,T20,T20 WC (V OMA) OMAN AUS (9 WKTS),14,85
24/03/04,BAN v SL,Sylhet International Stadium,Bangladesh,Bowl,206,3,203,8,0,0,0,0,SL (3 runs),Charith Asalanka,T20,BAN V SL BANGLADESH SL (3 RUNS),2,130
24/03/06,BAN v SL,Sylhet International Stadium,Bangladesh,Bowl,165,5,170,2,0,0,0,0,BAN (8 wkts),Najmul Hossain Shanto,T20,BAN V SL BANGLADESH BAN (8 WKTS),2,130
24/03/09,BAN v SL,Sylhet International Stadium,Bangladesh,Bowl,174,7,146,10,0,0,0,0,SL (28 runs),Nuwan Thushara,T20,BAN V SL BANGLADESH SL (28 RUNS),2,130
24/05/03,BAN v ZIM,Zahur Ahmed Chowdhury Stadium,Bangladesh,Bowl,124,10,126,2,0,0,0,0,BAN (8 wkts),Tanzid Hasan,T20,BAN V ZIM BANGLADESH BAN (8 WKTS),2,145
24/05/05,BAN v ZIM,Zahur Ahmed Chowdhury Stadium,Bangladesh,Bowl,138,7,142,4,0,0,0,0,BAN (6 wkts),Rishad Hossain,T20,BAN V ZIM BANGLADESH BAN (6 WKTS),2,145
24/05/08,BAN v ZIM,Zahur Ahmed Chowdhury Stadium,Zimbabwe,Bowl,165,5,156,9,0,0,0,0,BAN (9 runs),Towhid Hridoy,T20,BAN V ZIM ZIMBABWE BAN (9 RUNS),26,145
24/05/10,BAN v ZIM,Shere Bangla National Stadium,Zimbabwe,Bowl,143,10,138,10,0,0,0,0,BAN (5 runs),Mustafizur Rahman,T20,BAN V ZIM ZIMBABWE BAN (5 RUNS),26,115
24/05/12,BAN v ZIM,Shere Bangla National Stadium,Bangladesh,Bowl,157,6,158,2,0,0,0,0,ZIM (8 wkts),Sikandar Raza,T20,BAN V ZIM BANGLADESH ZIM (8 WKTS),2,115
24/05/21,USA v BAN,Prairie View Cricket Complex,USA,Bowl,153,6,156,5,0,0,0,0,USA (5 wkts),Harmeet Singh,T20,USA V BAN USA USA (5 WKTS),23,88
24/05/23,USA v BAN,Prairie View Cricket Complex,Bangladesh,Bowl,144,6,138,10,0,0,0,0,USA (6 runs),Ali Khan,T20,USA V BAN BANGLADESH USA (6 RUNS),2,88
24/05/25,USA v BAN,Prairie View Cricket Complex,Bangladesh,Bowl,104,9,108,0,0,0,0,0,BAN (10 wkts),Mustafizur Rahman,T20,USA V BAN BANGLADESH BAN (10 WKTS),2,88
24/06/07,T20 WC (v SL),Grand Prairie Stadium,Bangladesh,Bowl,124,9,125,8,0,0,0,0,BAN (2 wkts),Rishad Hossain,T20,T20 WC (V SL) BANGLADESH BAN (2 WKTS),2,39
24/06/10,T20 WC (v SA),Nassau County Intl Stadium,South Africa,Bat,113,6,109,7,0,0,0,0,SA (4 runs),Heinrich Klaasen,T20,T20 WC (V SA) SOUTH AFRICA SA (4 RUNS),20,74
24/06/13,T20 WC (v NED),Arnos Vale Ground,Netherlands,Bowl,159,5,134,8,0,0,0,0,BAN (25 runs),Shakib Al Hasan,T20,T20 WC (V NED) NETHERLANDS BAN (25 RUNS),12,3
24/06/16,T20 WC (v NEP),Arnos Vale Ground,Nepal,Bowl,106,10,85,10,0,0,0,0,BAN (21 runs),Tanzim Hasan Sakib,T20,T20 WC (V NEP) NEPAL BAN (21 RUNS),11,3
24/06/20,T20 WC (v AUS),Sir Vivian Richards Stadium,Australia,Bowl,140,8,100,2,0,0,0,0,AUS (28 runs*),Pat Cummins,T20,T20 WC (V AUS) AUSTRALIA AUS (28 RUNS*),1,122
24/06/22,T20 WC (v IND),Sir Vivian Richards Stadium,Bangladesh,Bowl,196,5,146,8,0,0,0,0,IND (50 runs),Hardik Pandya,T20,T20 WC (V IND) BANGLADESH IND (50 RUNS),2,122
24/06/24,T20 WC (v AFG),Arnos Vale Ground,Afghanistan,Bat,115,5,105,10,0,0,0,0,AFG (8 runs*),Naveen-ul-Haq,T20,T20 WC (V AFG) AFGHANISTAN AFG (8 RUNS*),0,3
24/10/06,IND v BAN,Shrimant Madhavrao Stadium,India,Bowl,127,10,132,3,0,0,0,0,IND (7 wkts),Arshdeep Singh,T20,IND V BAN INDIA IND (7 WKTS),6,118
24/10/09,IND v BAN,Arun Jaitley Stadium,Bangladesh,Bowl,221,9,135,9,0,0,0,0,IND (86 runs),Nitish Kumar Reddy,T20,IND V BAN BANGLADESH IND (86 RUNS),2,4
24/10/12,IND v BAN,Rajiv Gandhi Intl Stadium,India,Bat,297,6,164,7,0,0,0,0,IND (133 runs),Sanju Samson,T20,IND V BAN INDIA IND (133 RUNS),6,95
24/12/15,WI v BAN,Arnos Vale Ground,West Indies,Bowl,142,8,135,9,0,0,0,0,BAN (7 runs),Taskin Ahmed,T20,WI V BAN WEST INDIES BAN (7 RUNS),25,3
24/12/17,WI v BAN,Arnos Vale Ground,Bangladesh,Bat,168,6,141,10,0,0,0,0,BAN (27 runs),Litton Das,T20,WI V BAN BANGLADESH BAN (27 RUNS),2,3
24/12/19,WI v BAN,Arnos Vale Ground,Bangladesh,Bat,195,4,115,10,0,0,0,0,BAN (80 runs),Towhid Hridoy,T20,WI V BAN BANGLADESH BAN (80 RUNS),2,3
25/05/17,UAE v BAN,Sharjah Cricket Stadium,UAE,Bowl,172,5,145,10,0,0,0,0,BAN (27 runs),Mustafizur Rahman,T20,UAE V BAN UAE BAN (27 RUNS),22,112
